state,city_slug,address_slug,locator_url,http_status,final_url,bytes,sha256,hydration_object_count,entity_ids,yext_c_openDate_raw,yext_c_openDate,yext_c_openDate_path,yext_c_openDate_source,yext_c_openDate_all,yext_c_openDate_candidate_count,yext_c_approvalDate_raw,yext_c_approvalDate,yext_c_approvalDate_path,yext_c_approvalDate_source,yext_c_approvalDate_all,yext_c_approvalDate_candidate_count,parse_status,error,retrieved_at_utc
AL,decatur,1102-6th-ave-se,https://locations.7brew.com/al/decatur/1102-6th-ave-se,200,https://locations.7brew.com/al/decatur/1102-6th-ave-se,504897,539fa65eb3d07721d8e721af64793202caf7d900c5a190cc2d6d7f8697b9219e,1,,,,,,,0,,,,,,0,FIELD_NOT_FOUND,,2026-07-12T22:51:29.047852+00:00
AL,decatur,928-beltline-rd,https://locations.7brew.com/al/decatur/928-beltline-rd,200,https://locations.7brew.com/al/decatur/928-beltline-rd,120951,f178acd454a4b9072bb9b0f3c418af3eb1b65762a590c3ea72a85659720e2a07,1,,,,,,,0,,,,,,0,FIELD_NOT_FOUND,,2026-07-12T22:51:29.541515+00:00
AL,dothan,1051-ross-clark-circle,https://locations.7brew.com/al/dothan/1051-ross-clark-circle,200,https://locations.7brew.com/al/dothan/1051-ross-clark-circle,599219,0c7bec70205c8d086f3782159a3a6ee4d2e417cb175a02a436bb9900d3346227,1,,d%20and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%201051%20Ross%20Clark%20Circle%22%2C%22c_openDate%22%3A%222025-10-20%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Dothan%2C%20AL%20%7C%20Visit%207%20Brew%20at%201051%20Ross%20Clark%20Circle%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Fdothan%2F1051-ross-clark-circle%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fbrewhorizons.7brewcareer,2025-10-20,offset:39643,raw_layer[0],2025-10-20,24,,,,,,0,FOUND,,2026-07-12T22:51:30.364795+00:00
AL,dothan,3488-ross-clark-circle,https://locations.7brew.com/al/dothan/3488-ross-clark-circle,200,https://locations.7brew.com/al/dothan/3488-ross-clark-circle,595110,246524464a3b1d5053374d552b0d180418fd0dce31b425968531b6d7089b0e46,1,,d%20and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%203488%20Ross%20Clark%20Circle%22%2C%22c_openDate%22%3A%222026-01-19%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Dothan%2C%20AL%20%7C%20Visit%207%20Brew%20at%203488%20Ross%20Clark%20Circle%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Fdothan%2F3488-ross-clark-circle%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fbrewhorizons.7brewcareer,2026-01-19,offset:39702,raw_layer[0],2026-01-19,32,,,,,,0,FOUND,,2026-07-12T22:51:31.310762+00:00
AL,enterprise,705-boll-weevil-circle,https://locations.7brew.com/al/enterprise/705-boll-weevil-circle,200,https://locations.7brew.com/al/enterprise/705-boll-weevil-circle,634791,75ba4fa1e8aa3ac3cc15830489551e01279d084b8fafe8d68b670ec1c14c0e6a,1,,d%20and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%20705%20Boll%20Weevil%20Circle%22%2C%22c_openDate%22%3A%222025-09-29%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Enterprise%2C%20AL%20%7C%20Visit%207%20Brew%20at%20705%20Boll%20Weevil%20Circle%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Fenterprise%2F705-boll-weevil-circle%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fbrewhorizons.7br,2025-09-29,offset:39657,raw_layer[0],2025-09-29,32,,,,,,0,FOUND,,2026-07-12T22:51:32.386374+00:00
AL,florence,344-cox-creek-pkwy,https://locations.7brew.com/al/florence/344-cox-creek-pkwy,200,https://locations.7brew.com/al/florence/344-cox-creek-pkwy,588427,8c9aa6d89ca1f6524f80abb33a2fdf63e8656356dfd60486f720f04278e2bdcd,1,,,,,,,0,,,,,,0,FIELD_NOT_FOUND,,2026-07-12T22:51:33.399979+00:00
AL,foley,3201-s-mckenzie-st,https://locations.7brew.com/al/foley/3201-s-mckenzie-st,200,https://locations.7brew.com/al/foley/3201-s-mckenzie-st,509528,5a0b9560e4d6b92c3abb5f2ba5e4c431d46ba7ddfea1aeee8d9fff6d5c556945,1,,,,,,,0,,,,,,0,FIELD_NOT_FOUND,,2026-07-12T22:51:34.246632+00:00
AL,fultondale,1504-main-street,https://locations.7brew.com/al/fultondale/1504-main-street,200,https://locations.7brew.com/al/fultondale/1504-main-street,508026,b6144c5cf77c74a1fa47f5f99264cf67cf64cc5c9cb992cb3050b8e7d02bcb88,1,,h%20speed%20and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%201504%20Main%20Street%22%2C%22c_openDate%22%3A%222025-12-01%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Fultondale%2C%20AL%20%7C%20Visit%207%20Brew%20at%201504%20Main%20Street%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Ffultondale%2F1504-main-street%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fsouthernbrew.7brewcareers.com%,2025-12-01,offset:39848,raw_layer[0],2025-12-01,24,,,,,,0,FOUND,,2026-07-12T22:51:35.055272+00:00
AL,gadsden,202-east-meighan-boulevard,https://locations.7brew.com/al/gadsden/202-east-meighan-boulevard,200,https://locations.7brew.com/al/gadsden/202-east-meighan-boulevard,570589,320a7738c26e677c4d8bf4badf7dab2907222efeef2cc4f76459e83e8e666b47,1,,and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%20202%20East%20Meighan%20Boulevard%22%2C%22c_openDate%22%3A%222025-11-10%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Gadsden%2C%20AL%20%7C%20Visit%207%20Brew%20at%20202%20East%20Meighan%20Boulevard%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Fgadsden%2F202-east-meighan-boulevard%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fsouthernbrew.7,2025-11-10,offset:39676,raw_layer[0],2025-11-10,24,,,,,,0,FOUND,,2026-07-12T22:51:35.859096+00:00
AL,helena,2633-helena-road,https://locations.7brew.com/al/helena/2633-helena-road,200,https://locations.7brew.com/al/helena/2633-helena-road,122334,027c3a302dd7fd8922291abd81fcca16408a4d1e4dcdb659e7a3105f6fd2fd43,1,,h%20speed%20and%20a%20smile.%20Visit%20our%20drive-thru%20today%20at%202633%20Helena%20Road%22%2C%22c_openDate%22%3A%222025-10-27%22%2C%22c_pageTitle%22%3A%22Drive-Thru%20Coffee%20in%20Helena%2C%20AL%20%7C%20Visit%207%20Brew%20at%202633%20Helena%20Road%22%2C%22c_pagesURL%22%3A%22https%3A%2F%2Flocations.7brew.com%2Fal%2Fhelena%2F2633-helena-road%22%2C%22c_promoBanner1%22%3A%7B%22button%22%3A%7B%22label%22%3A%22Apply%20Today%22%2C%22link%22%3A%22https%3A%2F%2Fsouthernbrew.7brewcareers.com%2F%22%2C,2025-10-27,offset:39449,raw_layer[0],2025-10-27,24,,,,,,0,FOUND,,2026-07-12T22:51:36.318041+00:00
